"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"지방9급","2015","A","재난관리론","1","재난 및 안전관리 기본법 상 재난관리의 대비단계 활동사항에 해당하는 것은?","","재난 예․경보 발령","정기적인 재난대비훈련","재난 정보전달체계의 구축","재난에 대응할 조직의 구성 및 정비","2"
"지방9급","2015","A","재난관리론","2","재난관리에 있어 통합관리 방식의 특징을 설명한 것으로 적합한 것은?","","관리체계가 복잡하다.","관련 부처의 수가 줄어든다.","정보의 전달이 다양화된다.","소관 재난에 대한 관리책임이 분산된다.","2"
"지방9급","2015","A","재난관리론","3","아네스(Anesth)의 재난분류에 대한 설명으로 옳지 않은 것은?","","재난은 자연재난과 인적재난으로 구분된다.","자연재난은 지구물리학적 재난과 생물학적 재난으로 구분된다.","인적재난은 사고성 재난과 계획적 재난으로 구분된다.","사고성 재난은 화학적 재난, 방사능 재난 등을 포함한다.","2"
"지방9급","2015","A","재난관리론","4","풍수해 저감대책을 구조적 대책과 비구조적 대책으로 구분할 경우, 비구조적 대책에 가장 적합한 것은?","","하천제방 신․개축","하수관로 용량 확대","위험지역 안내판 설치","유수지 및 펌프장 신․증설","3"
"지방9급","2015","A","재난관리론","5","자연재해로 발생한 피해에 대한 피해사실확인서의 발급권자는?","","관계 중앙행정기관장","국민안전처장관","시․도지사","시장․군수․구청장","4"
"지방9급","2015","A","재난관리론","6","어떤 유역 내 설치된 우량계에 의해 측정된 강우의 시간별 측정값이 6 mm/hr, 24 mm/hr, 30 mm/hr, 2 mm/hr, 40 mm/hr일 때, 강우 지속시간 2시간 최대 강우강도는?","","47 mm/hr","37 mm/hr","27 mm/hr","17 mm/hr","3"
"지방9급","2015","A","재난관리론","7","해일에 대한 설명으로 옳지 않은 것은?","","폭풍해일은 태풍이나 저기압에 동반되며, 태풍이 강하고 해안의 수심이 낮을수록 커진다.","폭풍해일은 태풍의 이동속도가 느려지면 더 큰 피해를 줄 수 있다.","지진해일은 해저에서의 지진이나 화산분출에 동반되며, 수 분에서 1 ～ 2시간의 주기범위를 가진다.","지진해일의 전파속도는 바다의 깊이가 깊을수록 느리고 얕은 바다일수록 빠르다.","4"
"지방9급","2015","A","재난관리론","8","다음 경우에 국민안전처장관이 취할 수 있는 조치로써 적절하지 않은 것은?\n\n특정관리대상시설물에 대한 안전조치명령을 받은 자가 그 명령을 이행하지 아니하거나 이행할 수 없는 상태에 있고, 안전조치를 이행하지 아니할 경우 공중의 안전에 위해를 끼칠 수 있어, 국민안전처장관이 재난의 예방을 위하여 긴급하다고 판단한 경우","","시설물에 대한 개선명령","시설물에 대한 사용제한명령","시설물에 대한 사용금지명령","'행정대집행법'에 따른 강제집행","1"
"지방9급","2015","A","재난관리론","9","홍수발생에 가장 큰 영향을 주는 강우의 특성으로 옳은 것은?","","침투율과 지속기간","침투율과 불투수성","불투수성과 강우강도","강우강도와 지속기간","4"
"지방9급","2015","A","재난관리론","10","자연재해대책법 상 자연재해 예방을 위해 국민안전처장관이 할 수 없는 것은?","","긴급지원계획수립","우수유출저감대책수립","지구단위 홍수방어기준설정","지하 공간의 침수를 방지하기 위한 수방기준제정","2"
"지방9급","2015","A","재난관리론","11","산사태발생에 대한 설명으로 옳지 않은 것은?","","흙입자 사이의 간극수압이 감소하면 산사태발생 가능성이 증가한다.","흙입자의 점착력과 내부마찰각이 증가하면 흙의 전단응력이 증가한다.","산사태의 이동속도는 연간 수 mm부터 초당 수십 m의 범위다.","토석류는 흙과 암석이 물과 혼합하여 연속유체처럼 흘러내린다.","1"
"지방9급","2015","A","재난관리론","12","풍수해저감종합계획의 수립에 대한 내용으로 옳지 않은 것은?","","시장․군수는 풍수해의 예방 및 저감을 위하여 5년마다 시․군 풍수해저감종합계획을 수립하여야 한다.","수립된 시․군 풍수해저감종합계획은 대통령령으로 정하는 바에 따라 시․도지사의 승인을 받아 확정한다.","시․도지사는 시․군 풍수해저감종합계획을 기초로 시․도 풍수해저감종합계획을 수립하여야 한다.","시․도지사 및 시장․군수는 각각 시․도 풍수해저감종합계획 및 시․군 풍수해저감종합계획에 대한 사업시행계획을 매년 작성하여 국민안전처장관에게 제출하여야 한다.","2"
"지방9급","2015","A","재난관리론","13","재난 및 안전관리 기본법령상 적조류 대발생의 재난관리주관 기관은?","","해양수산부","보건복지부","국민안전처","산업통상자원부","1"
"지방9급","2015","A","재난관리론","14","자연재해대책법 상 방재관리대책 대행자가 대행할 수 없는 것은?","","재해복구사업의 평가","비상대처계획의 수립","긴급구조대응계획의 수립","풍수해저감종합계획의 수립","3"
"지방9급","2015","A","재난관리론","15","자연재해대책법 상 손실보상에 대한 설명으로 옳지 않은 것은?","","손실보상의 주체는 국가 또는 지방자치단체이다.","손실보상은 재해 예방을 위해 필요한 경우로써 토지의 일시적 사용으로 인한 손실에 한정된다.","협의가 성립되지 아니하였을 때에는 관할 토지수용위원회에 재결을 신청할 수 있다.","토지수용위원회의 재결에 불복할 때에는 재결서를 받은 날부터 60일 이내에 행정소송을 제기할 수 있다.","2"
"지방9급","2015","A","재난관리론","16","자연재해대책법 상 자연재해위험개선지구에 대한 설명으로 옳지 않은 것은?","","시장․군수․구청장은 자연재해위험개선지구로 지정․고시된 지역에서 재해 예방을 위하여 필요하면 건축, 형질 변경 등의 행위를 제한할 수 있다.","시장․군수․구청장은 건축, 형질 변경 등의 행위와 병행하여 그 행위로 발생할 수 있는 자연재해에 관한 예방대책이 마련되어 추진되는 경우에는 제한할 수 없다.","건축, 형질 변경 등의 행위제한에 관한 구체적인 사항은 대통령령으로 정한다.","건축, 형질 변경 등의 행위를 제한하는 자연재해위험개선 지구는 다른 자연재해위험개선지구보다 우선하여 정비하여야 한다.","3"
"지방9급","2015","A","재난관리론","17","재해경감을 위한 기업의 자율활동 지원에 관한 법률 상 재해경감 활동계획 수립 대행자에 대하여 국민안전처장관이 반드시 등록 취소처분을 해야 하는 경우는?","","고의 또는 중대한 과실로 재해경감활동계획서 등을 부실하게 작성한 경우","1년에 2회 이상의 영업정지 처분을 받고 다시 영업정지 처분 사유에 해당하는 행위를 한 경우","대행업무의 양도․양수 및 합병 등에 의하여 자격요건 및 기술인력 요건에 미달하는 경우","다른 사람에게 자기의 명의를 사용하여 대행업무를 하게 하거나 등록증을 다른 사람에게 대여한 경우","3"
"지방9급","2015","A","재난관리론","18","재난관리의 복구단계에서 수행되는 복구비 지원절차를 순서대로 바르게 나열한 것은?\nㄱ. 복구계획 수립을 위한 피해 조사\nㄴ. 복구계획안 작성\nㄷ. 재해복구비 예산 요구\nㄹ. 피해상황 보고\nㅁ. 복구 계획안 심의 확정\nㅂ. 재해복구비 예산 배정","","ㄱ － ㄹ － ㄴ － ㄷ － ㅁ － ㅂ","ㄱ － ㄹ － ㄴ － ㅁ － ㄷ － ㅂ","ㄹ － ㄱ － ㄴ － ㄷ － ㅁ － ㅂ","ㄹ － ㄱ － ㄴ － ㅁ － ㄷ － ㅂ","4"
"지방9급","2015","A","재난관리론","19","정상강우백분율(PNP, Percent of Normal Precipitation)과 표준 강우지수(SPI, Standardized Precipitation Index)는 어떤 재난의 규모를 파악하기 위한 것인가?","","가뭄","홍수","태풍","황사","1"
"지방9급","2015","A","재난관리론","20","재난 및 안전관리 기본법 상 재난의 대응단계에서 시장․군수․ 구청장이 취할 수 있는 조치에 해당하지 않는 것은?","","차량의 통행금지 또는 통행제한","위험구역에 출입하는 행위나 그 밖의 행위의 금지 또는 제한","동원 가능한 장비와 인력 등이 부족한 경우에 국방부장관에 대한 군부대의 지원 요청","재난이 발생하거나 발생할 우려가 있는 지역 주민이나 그 지역 안에 있는 사람에 대한 대피명령","1"
